idActivite;libelleOperationnel;datePrevue;dateEffective;dureeEstimeeHeures;statut;idPrestation;idCollaborateur;lieu;type;numeroContrat;nom;prenom;poste
1;Préparation du matériel;2026-02-14 10:00:00;;2;PREVUE;1;1.0;Paris;MARIAGE;CONT-2026-001;;;
2;Retouches photos;2026-03-02 14:00:00;2026-03-02 14:00:00;3;TERMINEE;2;3.0;Studio Photo Paris;COMM_REGULIERE;CONT-2026-002;;;
3;Repérage lieu;2026-04-09 11:00:00;;1;PREVUE;3;6.0;Château de Versailles;MARIAGE;CONT-2026-003;;;
4;Installation studio;2026-01-19 09:00:00;2026-01-19 09:00:00;1;TERMINEE;4;1.0;Studio Lumière;COMM_REGULIERE;CONT-2026-004;;;
5;Brief client;2026-05-14 10:00:00;;2;PREVUE;5;2.0;Palais des Congrès;EVENT_PRO;CONT-2026-005;;;
6;Prise de vue produits;2026-03-04 15:00:00;;4;EN_COURS;6;8.0;Bureau Client;AUTRE;CONT-2026-006;;;
7;Sélection photos;2026-03-26 10:00:00;2026-03-26 10:00:00;2;TERMINEE;7;7.0;Parc de la Tête d'Or;COMM_REGULIERE;CONT-2026-007;;;
8;Montage vidéo;2026-02-11 09:00:00;;5;EN_COURS;8;4.0;Stade de France;EVENT_PRO;CONT-2026-008;;;
9;Préparation album;2026-05-31 14:00:00;;3;PREVUE;9;5.0;Mairie de Strasbourg;MARIAGE;CONT-2026-009;;;
10;Livraison photos;2026-03-11 16:00:00;2026-03-11 16:00:00;1;TERMINEE;10;3.0;Siège Social;EVENT_PRO;CONT-2026-010;;;
11;Mariage de Clement et Mariam;2026-05-07 00:00:00;;10;PREVUE;11;nan;Paris;MARIAGE;CONT-2026-011;;;
